850384,1530,3.0
513501,1530,4.0
152583,1530,3.0
1921018,1530,5.0
2397231,1530,2.0
2149961,1530,5.0
2600558,1530,5.0
21667,1530,1.0
1488926,1530,5.0
2175558,1530,4.0
1394109,1530,3.0
1100551,1530,4.0
1355423,1530,1.0
1505945,1530,4.0
502388,1530,4.0
1153585,1530,4.0
2475820,1530,3.0
1265716,1530,5.0
1818233,1530,5.0
2030523,1530,5.0
1793171,1530,4.0
2240642,1530,4.0
348585,1530,4.0
1359097,1530,3.0
1221336,1530,3.0
1981826,1530,3.0
2007920,1530,4.0
534237,1530,5.0
639194,1530,4.0
125296,1530,5.0
1697375,1530,4.0
2204181,1530,5.0
1354067,1530,4.0
1439097,1530,5.0
826409,1530,5.0
405837,1530,4.0
149903,1530,5.0
1867081,1530,4.0
2418575,1530,4.0
1187485,1530,4.0
1221350,1530,1.0
491331,1530,3.0
1714637,1530,3.0
1155253,1530,5.0
1030733,1530,5.0
2059820,1530,5.0
235253,1530,4.0
338687,1530,2.0
2155945,1530,1.0
364921,1530,4.0
581235,1530,4.0
719422,1530,4.0
2050389,1530,4.0
45861,1530,5.0
695858,1530,3.0
2509588,1530,4.0
2401237,1530,4.0
1273429,1530,3.0
601955,1530,3.0
1364562,1530,4.0
2382057,1530,4.0
1306549,1530,5.0
1272479,1530,3.0
2440674,1530,4.0
2024507,1530,5.0
1712720,1530,3.0
1048939,1530,2.0
2164262,1530,4.0
249445,1530,5.0
2232899,1530,4.0
2069036,1530,4.0
1177165,1530,1.0
2491620,1530,4.0
230393,1530,4.0
1165045,1530,3.0
2409151,1530,2.0
294771,1530,3.0
1594839,1530,3.0
1809272,1530,4.0
2574940,1530,5.0
343559,1530,3.0
2187474,1530,3.0
1229665,1530,5.0
952709,1530,4.0
1049640,1530,5.0
1225293,1530,5.0
345351,1530,4.0
1314890,1530,3.0
1085230,1530,4.0
1491583,1530,5.0
2640096,1530,3.0
590368,1530,4.0
1408822,1530,3.0
2287089,1530,5.0
2267445,1530,3.0
2121379,1530,5.0
363833,1530,3.0
654334,1530,5.0
2604824,1530,5.0
1067986,1530,4.0
901928,1530,2.0
1509305,1530,4.0
